,catid,coid,phesid,type,logarithm_p,r_chronotype,p_chronotype,i,true_catid
525,31,3085-0.0,3085,,0.06382852,0.00104714,0.86331936,525,21
526,31,4119-0.0,4119,,0.947740992,0.009645674,0.11278699,526,21
527,31,3084-0.0,3084,,0.42749545,-0.005411101,0.37368404,527,21
528,31,4095-2.0,4095,,0.787471174,-0.008482963,0.163128118,528,21
529,31,4092-1.0,4092,,0.265773595,-0.003706568,0.542283519,529,21
530,31,77-0.0,77,,0.199621301,0.002917296,0.631507771,530,21
531,31,4100-0.0,4100,,1.528343574,0.01322974,0.029624868,531,21
532,32,4979_3.0,4979_3.0,3,1.778404243,-0.014562411,0.016656961,532,32
533,32,4256-0.0,4256,,0.033667105,0.000569492,0.925407244,533,32
534,32,4255-0.0,4255,,0.420267725,-0.005340453,0.379955097,534,32
535,32,4254-0.0,4254,,0.021178256,-0.000363057,0.952405168,535,32
536,32,404-0.0,404,,4.836772029,-0.026365227,1.46E-05,536,32
537,32,630-0.0,630,,12.98406645,0.045208234,1.04E-13,537,32
538,32,4968_8.0,4968_8.0,8,0.510002452,-0.006187663,0.309027799,538,32
539,32,4979_2.0,4979_2.0,2,0.185390899,0.002738627,0.652542948,539,32
540,32,400-0.1,400,,6.021798369,-0.029807813,9.51E-07,540,32
541,32,399-0.1,399,,4.464982096,-0.025196705,3.43E-05,541,32
542,32,4253-2.0,4253,,4.767729713,0.026151837,1.71E-05,542,32
543,32,4292_1.0,4292_1.0,1,0.087067794,-0.001397103,0.818337034,543,32
544,32,4968_5.0,4968_5.0,5,1.494026696,-0.013038662,0.032060722,544,32
545,32,4968_7.0,4968_7.0,7,0.03702833,0.000624145,0.918272693,545,32
546,32,4968_6.0,4968_6.0,6,0.222736657,0.003200492,0.598774564,546,32
547,32,4957_4.0,4957_4.0,4,0.117931879,0.001840596,0.762198555,547,32
548,32,4957_2.0,4957_2.0,2,0.545472077,-0.006506096,0.28479209,548,32
549,32,4957_1.0,4957_1.0,1,0.585340771,-0.006854133,0.259812014,549,32
550,32,4935_17.0,4935_17.0,17,0.291769341,0.004000153,0.510776208,550,32
551,32,4935_16.0,4935_16.0,16,0.260881649,-0.003650342,0.548426397,551,32
