,coef,lower,upper
Hippocampus (left),-0.06774488671029708,-0.13545976499770135,-0.006733823630935894
Hippocampus (right),0.05082575606534653,-0.011799847840743062,0.11309267289451982
Amygdala (left),0.0453208014055681,-0.005216173314857335,0.09517945734135783
Amygdala (right),-0.02623596488169276,-0.09549558107447101,0.02770967401261189
Ventral Striatum (left),0.04052251446567843,-0.0253880389813525,0.09914225875621514
Ventral Striatum (right),-0.029437555653145472,-0.08317726028802795,0.029747739192042492
Brain-Stem,0.02815408482401503,-0.006359131174575857,0.06180931435991656
I-IV Cerebellum (left),-0.011421039080199386,-0.07661539724880506,0.04761914442810719
I-IV Cerebellum (right),-0.02791083955467652,-0.09959808914062195,0.037628202428172976
V Cerebellum (left),-0.03396484987859257,-0.08762911663691739,0.02789316576073049
V Cerebellum (right),0.040062711315546506,-0.026703865362823806,0.10779629078183942
VI Cerebellum (left),0.06220026360178595,-0.014076813753763422,0.1368920329298659
VI Cerebellum (vermis),-0.029294664299567022,-0.06825967898674537,0.005332193246902055
VI Cerebellum (right),0.03742303226292301,-0.04179232924143443,0.10171293454416794
Crus I Cerebellum (left),-0.02513270548021521,-0.06937196315929685,0.022117278753795187
Crus I Cerebellum (vermis),-0.007205568424204303,-0.03156583714104591,0.016967428095012317
Crus I Cerebellum (right),-0.009901885569841484,-0.0653896254280072,0.046620073901110476
Crus II Cerebellum (left),0.011977452795671119,-0.061414178581699744,0.06318957800675759
Crus II Cerebellum (vermis),0.04759606768958068,0.013574102621658314,0.08687012226544534
Crus II Cerebellum (right),0.01802090556511076,-0.04641774386161183,0.09397360798908079
VIIb Cerebellum (left),-0.038094521379141315,-0.12308522755428179,0.047897777538328676
VIIb Cerebellum (vermis),-0.06304726005421962,-0.1047720115470473,-0.019463299965142827
VIIb Cerebellum (right),0.0025431896348631355,-0.07423374861870613,0.08689407409063284
VIIIa Cerebellum (left),-0.007199421045189487,-0.10755098765249468,0.10292103650578063
VIIIa Cerebellum (vermis),0.05154583111480928,0.009139729117195012,0.09636748966827803
VIIIa Cerebellum (right),0.033919543325320156,-0.05600281240942083,0.11015291370310308
VIIIb Cerebellum (left),0.0030066558353475737,-0.09078494445473037,0.0718382684167362
VIIIb Cerebellum (vermis),-0.025728473971106468,-0.07033534771147233,0.03599030990194938
VIIIb Cerebellum (right),-0.006033891181720312,-0.060976699460641895,0.05633090920648215
IX Cerebellum (left),-0.025124738690667683,-0.09915375910712439,0.05573361884721043
IX Cerebellum (vermis),-0.015017748706555306,-0.06439037634835856,0.039989842216685854
IX Cerebellum (right),-0.011577476147267072,-0.0880047724520727,0.06841519286408519
X Cerebellum (left),-0.0032670232495207873,-0.04792814773968886,0.03532549443895641
X Cerebellum (vermis),0.007383911628915354,-0.033433837971205665,0.04487566532612223
X Cerebellum (right),-9.664128263488708e-05,-0.04352642100972884,0.043898517078150505
